date,division,unemployment
2018-10-17,MIERCOLES,115
2018-10-18,JUEVES,89
2018-10-19,VIERNES,107
2018-10-20,SABADO,113
2018-10-21,DOMINGO,65
2018-10-22,LUNES,86
2018-10-23,MARTES,87
2018-10-24,MIERCOLES,101
2018-10-25,JUEVES,90
2018-10-26,VIERNES,96
2018-10-27,SABADO,110
2018-10-28,DOMINGO,53
2018-10-29,LUNES,97
2018-10-30,MARTES,98
2018-10-31,MIERCOLES,111
2018-11-01,JUEVES,93
2018-11-02,VIERNES,88
2018-11-03,SABADO,107
2018-11-04,DOMINGO,61
2018-11-05,LUNES,48
2018-11-06,MARTES,110
2018-11-07,MIERCOLES,110
2018-11-08,JUEVES,121
2018-11-09,VIERNES,105
2018-11-10,SABADO,113
2018-11-11,DOMINGO,61
2018-11-12,LUNES,50
2018-11-13,MARTES,105
2018-11-14,MIERCOLES,101
2018-11-15,JUEVES,93
2018-11-16,VIERNES,93
2018-11-17,SABADO,122
2018-11-18,DOMINGO,59
2018-11-19,LUNES,98
2018-11-20,MARTES,105
2018-11-21,MIERCOLES,107
2018-11-22,JUEVES,86
2018-11-23,VIERNES,99
2018-11-24,SABADO,88
2018-11-25,DOMINGO,76
2018-11-26,LUNES,93
2018-11-27,MARTES,98
2018-11-28,MIERCOLES,79
2018-11-29,JUEVES,134
2018-11-30,VIERNES,92
2018-12-01,SABADO,133
2018-12-02,DOMINGO,83
2018-12-03,LUNES,107
2018-12-04,MARTES,108
2018-12-05,MIERCOLES,102
2018-12-06,JUEVES,106
2018-12-07,VIERNES,122
2018-12-08,SABADO,77
2018-12-09,DOMINGO,67
2018-12-10,LUNES,110
2018-12-11,MARTES,99
2018-12-12,MIERCOLES,87
2018-12-13,JUEVES,98
2018-12-14,VIERNES,101
2018-12-15,SABADO,114
2018-12-16,DOMINGO,82
2018-12-17,LUNES,108
2018-12-18,MARTES,109
2018-12-19,MIERCOLES,99
2018-12-20,JUEVES,111
2018-12-21,VIERNES,103
2018-12-22,SABADO,97
2018-12-23,DOMINGO,69
2018-12-24,LUNES,89
2018-12-25,MARTES,55
2018-12-26,MIERCOLES,97
2018-12-27,JUEVES,88
2018-12-28,VIERNES,72
2018-12-29,SABADO,61
2018-12-30,DOMINGO,43
2018-12-31,LUNES,46
2019-01-01,MARTES,32
2019-01-02,MIERCOLES,56
2019-01-03,JUEVES,58
2019-01-04,VIERNES,75
2019-01-05,SABADO,76
2019-01-06,DOMINGO,38
2019-01-07,LUNES,30
2019-01-08,MARTES,58
2019-01-09,MIERCOLES,59
2019-01-10,JUEVES,63
2019-01-11,VIERNES,76
2019-01-12,SABADO,76
2019-01-13,DOMINGO,46
2019-01-14,LUNES,60
2019-01-15,MARTES,95
2019-01-16,MIERCOLES,70
2019-01-17,JUEVES,82
2019-01-18,VIERNES,87
2019-01-19,SABADO,92
2019-01-20,DOMINGO,59
2019-01-21,LUNES,99
2019-01-22,MARTES,80
2019-01-23,MIERCOLES,77
2019-01-24,JUEVES,81
2019-01-25,VIERNES,95
2019-01-26,SABADO,102
2019-01-27,DOMINGO,57
2019-01-28,LUNES,108
2019-01-29,MARTES,85
2019-01-30,MIERCOLES,95
2019-01-31,JUEVES,93
2019-02-01,VIERNES,92
2019-02-02,SABADO,101
2019-02-03,DOMINGO,81
2019-02-04,LUNES,99
2019-02-05,MARTES,89
2019-02-06,MIERCOLES,86
2019-02-07,JUEVES,45
2019-02-08,VIERNES,107
2019-02-09,SABADO,90
2019-02-10,DOMINGO,63
2019-02-11,LUNES,100
2019-02-12,MARTES,111
2019-02-13,MIERCOLES,118
2019-02-14,JUEVES,109
2019-02-15,VIERNES,109
2019-02-16,SABADO,72
2019-02-17,DOMINGO,36
2019-02-18,LUNES,85
2019-02-19,MARTES,77
2019-02-20,MIERCOLES,88
2019-02-21,JUEVES,90
2019-02-22,VIERNES,103
2019-02-23,SABADO,115
2019-02-24,DOMINGO,59
2019-02-25,LUNES,85
2019-02-26,MARTES,95
2019-02-27,MIERCOLES,100
2019-02-28,JUEVES,87
2019-03-01,VIERNES,120
2019-03-02,SABADO,99
2019-03-03,DOMINGO,73
2019-03-04,LUNES,102
2019-03-05,MARTES,112
2019-03-06,MIERCOLES,111
2019-03-07,JUEVES,101
2019-03-08,VIERNES,91
2019-03-09,SABADO,89
2019-03-10,DOMINGO,51
2019-03-11,LUNES,92
2019-03-12,MARTES,101
2019-03-13,MIERCOLES,92
2019-03-14,JUEVES,87
2019-03-15,VIERNES,118
2019-03-16,SABADO,93
2019-03-17,DOMINGO,58
2019-03-18,LUNES,103
2019-03-19,MARTES,114
2019-03-20,MIERCOLES,92
2019-03-21,JUEVES,120
2019-03-22,VIERNES,122
2019-03-23,SABADO,83
2019-03-24,DOMINGO,46
2019-03-25,LUNES,52
2019-03-26,MARTES,114
2019-03-27,MIERCOLES,98
2019-03-28,JUEVES,91
2019-03-29,VIERNES,96
2019-03-30,SABADO,97
2019-03-31,DOMINGO,52
2019-04-01,LUNES,96
2019-04-02,MARTES,92
2019-04-03,MIERCOLES,95
2019-04-04,JUEVES,97
2019-04-05,VIERNES,118
2019-04-06,SABADO,89
2019-04-07,DOMINGO,67
2019-04-08,LUNES,92
2019-04-09,MARTES,113
2019-04-10,MIERCOLES,113
2019-04-11,JUEVES,128
2019-04-12,VIERNES,107
2019-04-13,SABADO,96
2019-04-14,DOMINGO,65
2019-04-15,LUNES,81
2019-04-16,MARTES,83
2019-04-17,MIERCOLES,77
2019-04-18,JUEVES,42
2019-04-19,VIERNES,24
2019-04-20,SABADO,37
2019-04-21,DOMINGO,34
2019-04-22,LUNES,92
2019-04-23,MARTES,77
2019-04-24,MIERCOLES,103
2019-04-25,JUEVES,89
2019-04-26,VIERNES,106
2019-04-27,SABADO,100
2019-04-28,DOMINGO,71
2019-04-29,LUNES,96
2019-04-30,MARTES,103
2019-05-01,MIERCOLES,62
2019-05-02,JUEVES,103
2019-05-03,VIERNES,93
2019-05-04,SABADO,91
2019-05-05,DOMINGO,62
2019-05-06,LUNES,98
